transaction_id,status,amount,sender,receiver,transaction_type,bank_amount,amount_variance,root_cause,recommended_action,execution_status,genai_insight
T0000695,missing_in_bank,78168.43,C7496708,M3964713,PAYMENT,,78168.43,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹78,168.43 transfer from C7496708 to M3964713 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001211,missing_in_bank,26722.53,C5146638,C3223172,CASH_OUT,,26722.53,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹26,722.53 transfer from C5146638 to C3223172 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000694,duplicate,4351.49,C3280449,C7964647,CASH_OUT,4351.49,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0000694. Investigate double-billing by vendor.
T0000754,missing_in_bank,61207.25,C4941135,C5094326,TRANSFER,,61207.25,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹61,207.25 transfer from C4941135 to C5094326 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000777,missing_in_bank,12167.56,C3438704,M8911839,PAYMENT,,12167.56,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹12,167.56 transfer from C3438704 to M8911839 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001780,missing_in_ledger,,,,,12743.25,12743.25,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹12,743.25 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001014,missing_in_ledger,,,,,127553.98,127553.98,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹127,553.98 transaction. Possible unrecorded direct debit or unauthorized charge."
T0000595,missing_in_bank,51122.86,C6214280,M2190601,PAYMENT,,51122.86,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹51,122.86 transfer from C6214280 to M2190601 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000618,missing_in_bank,63697.12,C2257915,M9400494,TRANSFER,,63697.12,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹63,697.12 transfer from C2257915 to M9400494 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000594,missing_in_ledger,,,,,57582.0,57582.0,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹57,582.00 transaction. Possible unrecorded direct debit or unauthorized charge."
T0001912,missing_in_ledger,,,,,34416.35,34416.35,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹34,416.35 transaction. Possible unrecorded direct debit or unauthorized charge."
T0000322,duplicate,48459.19,C9244105,C2283141,TRANSFER,48459.19,0.0,Duplicate transaction detected – possible double-charge or sync error,Auto-Block Duplicate Payment,EXECUTED,Bank statement shows multiple identical charges for T0000322. Investigate double-billing by vendor.
T0000487,missing_in_bank,52181.17,C7886323,C8938468,TRANSFER,,52181.17,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹52,181.17 transfer from C7886323 to C8938468 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0001195,missing_in_bank,16821.03,C7421334,M3147782,CASH_OUT,,16821.03,Transaction missing in bank – possible processing delay or bank error,Hold Ledger Reconciliation,EXECUTED,"₹16,821.03 transfer from C7421334 to M3147782 is missing from the bank statement. Likely a settlement delay or weekend lag."
T0000653,missing_in_ledger,,,,,37204.08,37204.08,Transaction missing in ledger – possible unrecorded bank entry,Query Bank API for Status,TICKET CREATED,"Bank processed an unexpected ₹37,204.08 transaction. Possible unrecorded direct debit or unauthorized charge."
T0000002,balance_inconsistency,120605.84,C6891143,M6346863,CASH_OUT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C6891143's starting/ending balances do not align with the ₹120,605.84 transaction amount."
T0000004,balance_inconsistency,64011.76,C4897136,C3203692,CASH_OUT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C4897136's starting/ending balances do not align with the ₹64,011.76 transaction amount."
T0000017,balance_inconsistency,55399.95,C2153022,M7823419,PAYMENT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C2153022's starting/ending balances do not align with the ₹55,399.95 transaction amount."
T0000038,balance_inconsistency,94411.77,C3490836,M3112050,TRANSFER,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C3490836's starting/ending balances do not align with the ₹94,411.77 transaction amount."
T0000040,balance_inconsistency,38450.79,C2487061,C4539250,CASH_OUT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C2487061's starting/ending balances do not align with the ₹38,450.79 transaction amount."
T0000041,balance_inconsistency,50008.89,C7822788,C4155002,CASH_IN,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C7822788's starting/ending balances do not align with the ₹50,008.89 transaction amount."
T0000045,balance_inconsistency,52209.8,C9736281,M2014440,DEBIT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C9736281's starting/ending balances do not align with the ₹52,209.80 transaction amount."
T0000048,balance_inconsistency,118095.67,C7101270,M3827393,PAYMENT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C7101270's starting/ending balances do not align with the ₹118,095.67 transaction amount."
T0000063,balance_inconsistency,72875.55,C9707586,M4352566,CASH_OUT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C9707586's starting/ending balances do not align with the ₹72,875.55 transaction amount."
T0000079,balance_inconsistency,23968.67,C7028325,M4417473,PAYMENT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C7028325's starting/ending balances do not align with the ₹23,968.67 transaction amount."
T0000108,balance_inconsistency,194794.88,C5244103,M8784435,TRANSFER,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C5244103's starting/ending balances do not align with the ₹194,794.88 transaction amount."
T0000112,balance_inconsistency,73299.79,C6000822,C2780043,PAYMENT,,,Balance inconsistency detected – sender balance doesn't reconcile with amount,Flag Account for Audit,TICKET CREATED,"Math mismatch: C6000822's starting/ending balances do not align with the ₹73,299.79 transaction amount."
